"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"1171","603","Osthessen",2008,342884,0.472377,0.698350668707014,0.365956865049749,0.286517752273168,3,5,2
"1172","603","Osthessen",2009,342884,0.474645,0.696626090629883,0.365949186000801,0.292356992312295,3,5,2
"1173","603","Osthessen",2010,342884,0.457649,0.67642810018751,0.373101340156918,0.274628044160978,3,5,2
"1174","603","Osthessen",2011,342884,0.442254,0.649209477435379,0.395691760924848,0.251381846131246,3,5,2
"1175","603","Osthessen",2012,342884,0.444342,0.649185129192658,0.407001458672158,0.243877337353189,3,5,2
"1176","603","Osthessen",2013,342884,0.426154,0.627197464660277,0.406982079275048,0.232950715336607,3,5,2
"1177","603","Osthessen",2014,342884,0.41377,0.624234045595722,0.395943182140981,0.224529683362374,3,5,2
"1178","603","Osthessen",2015,342884,0.409156,0.61663278978979,0.401335162026017,0.218385306198001,3,5,2
"1179","603","Osthessen",2016,342884,0.402223,0.620161556883146,0.396841925040704,0.206795272164992,3,5,2
"1180","603","Osthessen",2017,342884,0.387123,0.604277359117727,0.396202988077309,0.1959771530653,3,5,2
"1181","604","Rhein-Main",1998,2886968,0.489243,0.768650539684306,0.272338815118557,0.340374683436837,2,3,2
"1182","604","Rhein-Main",1999,2886968,0.475248,0.767713063731621,0.262617354451253,0.325693441919583,2,3,2
"1183","604","Rhein-Main",2000,2886968,0.443514,0.750178201225779,0.240238696134472,0.308146571076715,1,2,1
"1184","604","Rhein-Main",2001,2886968,0.396506,0.718088430817382,0.224217348931211,0.271141676577758,1,2,1
"1185","604","Rhein-Main",2002,2886968,0.386607,0.695752266260413,0.220366350750254,0.279404578068059,1,1,1
"1186","604","Rhein-Main",2003,2886968,0.393519,0.678557330118915,0.227698730986804,0.301783237568765,1,2,1
"1187","604","Rhein-Main",2004,2886968,0.374917,0.650498945833331,0.212738912542466,0.311118944287344,1,1,1
"1188","604","Rhein-Main",2005,2886968,0.390372,0.628016814012686,0.243315171676517,0.331008805974762,1,2,1
"1189","604","Rhein-Main",2006,2886968,0.382374,0.603269045358145,0.257586840493042,0.327002947422699,1,2,1
"1190","604","Rhein-Main",2007,2886968,0.370499,0.583717784054206,0.279107624956915,0.303532653589051,1,2,1
"1191","604","Rhein-Main",2008,2886968,0.329502,0.542868594816263,0.264936443934305,0.284321214397201,1,2,1
"1192","604","Rhein-Main",2009,2886968,0.308118,0.525063890284007,0.242309389914635,0.286033044955218,1,2,1
"1193","604","Rhein-Main",2010,2886968,0.29108,0.489358163777785,0.249436923575945,0.283761902751725,1,2,1
"1194","604","Rhein-Main",2011,2886968,0.266555,0.457132240657823,0.252116221982863,0.268901644413862,1,2,1
"1195","604","Rhein-Main",2012,2886968,0.261837,0.445336136043475,0.262365089851064,0.261905539814059,1,2,1
"1196","604","Rhein-Main",2013,2886968,0.248875,0.40509245580818,0.281878451082604,0.259165081537157,1,2,1
"1197","604","Rhein-Main",2014,2886968,0.240363,0.387098327089852,0.289891137674143,0.253734253258983,1,2,1
"1198","604","Rhein-Main",2015,2886968,0.219677,0.366714851720677,0.281789736204993,0.244763798161545,1,1,1
"1199","604","Rhein-Main",2016,2886968,0.215681,0.361947415949002,0.289738117010266,0.234347593835376,1,1,1
"1200","604","Rhein-Main",2017,2886968,0.201651,0.334211289114949,0.302915645808412,0.22350320145864,1,1,1
"1201","605","Starkenburg",1998,1091082,0.484011,0.773923516871661,0.269392006975049,0.328574499250906,1,2,1
"1202","605","Starkenburg",1999,1091082,0.47601,0.778957545079068,0.260088410329477,0.318358071165239,2,3,2
"1203","605","Starkenburg",2000,1091082,0.4499,0.777783641299009,0.229491421081229,0.302850857104807,1,2,1
"1204","605","Starkenburg",2001,1091082,0.408854,0.756317158614005,0.210789441589616,0.268699162576601,1,2,1
"1205","605","Starkenburg",2002,1091082,0.394019,0.724637835018581,0.209349466482744,0.274956636104034,1,2,1
"1206","605","Starkenburg",2003,1091082,0.397997,0.709897065350788,0.211842441275676,0.294407952484004,1,2,1
"1207","605","Starkenburg",2004,1091082,0.396123,0.688539292208802,0.218721160361424,0.305493422470831,1,2,1
"1208","605","Starkenburg",2005,1091082,0.414036,0.67322792043944,0.246332736652375,0.325627798772156,1,2,1
"1209","605","Starkenburg",2006,1091082,0.410297,0.646716451136429,0.263938635860154,0.327763614002895,2,3,2
"1210","605","Starkenburg",2007,1091082,0.389116,0.631372436223775,0.268209934809886,0.300485220794892,2,3,2
"1211","605","Starkenburg",2008,1091082,0.360171,0.614901762464854,0.25583286423883,0.27692223486089,2,3,2
"1212","605","Starkenburg",2009,1091082,0.330855,0.594480062037252,0.2234209903693,0.276674701976092,1,2,1
"1213","605","Starkenburg",2010,1091082,0.31776,0.567972873391085,0.231697019108064,0.271194611607322,1,2,1
"1214","605","Starkenburg",2011,1091082,0.311155,0.549133832911012,0.251920023933006,0.257851043225876,2,3,2
"1215","605","Starkenburg",2012,1091082,0.3001,0.528204137767328,0.258635789704867,0.252048694510003,1,2,1
"1216","605","Starkenburg",2013,1091082,0.285948,0.490363518627729,0.273428800854817,0.249470828733236,1,2,1
"1217","605","Starkenburg",2014,1091082,0.282068,0.490578455039033,0.272574203265815,0.243084987990187,1,2,1
"1218","605","Starkenburg",2015,1091082,0.273776,0.470663219876353,0.283613651345827,0.236947718727838,1,2,1
"1219","605","Starkenburg",2016,1091082,0.266849,0.463966892849259,0.286215703069158,0.22849868977697,1,2,1
"1220","605","Starkenburg",2017,1091082,0.252859,0.438507652217272,0.296981348640194,0.217861384561048,1,2,1
"1221","701","Mittelrhein-Westerwald",1998,1254778,0.616444,0.871728319484107,0.405763035218841,0.334192403338836,3,5,2
"1222","701","Mittelrhein-Westerwald",1999,1254778,0.606519,0.86351805296492,0.404856555307942,0.325337976784849,3,5,2
"1223","701","Mittelrhein-Westerwald",2000,1254778,0.591261,0.858702108998526,0.395429413168603,0.311953750446569,3,5,2
"1224","701","Mittelrhein-Westerwald",2001,1254778,0.571232,0.839954899683499,0.397913619353566,0.291950199292171,3,6,2
"1225","701","Mittelrhein-Westerwald",2002,1254778,0.570937,0.834240259643786,0.393772361664137,0.30127225393372,3,6,2
"1226","701","Mittelrhein-Westerwald",2003,1254778,0.569808,0.827156856147436,0.38699154517665,0.313092159499462,3,6,2
"1227","701","Mittelrhein-Westerwald",2004,1254778,0.55196,0.7992620945793,0.37890848253463,0.316752606037073,3,6,2
"1228","701","Mittelrhein-Westerwald",2005,1254778,0.565733,0.794012886679128,0.386137969987967,0.339711554270751,3,6,2
"1229","701","Mittelrhein-Westerwald",2006,1254778,0.553269,0.782067632600107,0.392760866558149,0.32246598953854,3,6,2
"1230","701","Mittelrhein-Westerwald",2007,1254778,0.535892,0.773179659515784,0.397210102302576,0.295440833177164,3,5,2
"1231","701","Mittelrhein-Westerwald",2008,1254778,0.510577,0.759383209779363,0.383400971716269,0.277208462352776,3,6,2
"1232","701","Mittelrhein-Westerwald",2009,1254778,0.481899,0.750893146148514,0.334006428765413,0.283167660175367,3,5,2
"1233","701","Mittelrhein-Westerwald",2010,1254778,0.484351,0.729462946962078,0.370401515931627,0.272642031121145,3,5,2
"1234","701","Mittelrhein-Westerwald",2011,1254778,0.478249,0.715915957724047,0.386577151526158,0.258963806542855,3,6,2
"1235","701","Mittelrhein-Westerwald",2012,1254778,0.479222,0.70688497322969,0.400736245507905,0.255598873826763,3,6,2
"1236","701","Mittelrhein-Westerwald",2013,1254778,0.479086,0.702094522456245,0.411237329354645,0.24964147178647,3,6,2
"1237","701","Mittelrhein-Westerwald",2014,1254778,0.47266,0.682936244772509,0.425483510490009,0.242918475181196,3,6,2
"1238","701","Mittelrhein-Westerwald",2015,1254778,0.463794,0.683092500667287,0.414828507783358,0.237362458541719,3,6,2
"1239","701","Mittelrhein-Westerwald",2016,1254778,0.464388,0.667273952843259,0.442148325734604,0.226937742315239,3,6,2
"1240","701","Mittelrhein-Westerwald",2017,1254778,0.45556,0.663484216052108,0.443937307802506,0.212952934034003,3,6,2
"1241","702","Rheinhessen-Nahe",1998,874772,0.563141,0.814929475595626,0.359948953379082,0.340290406510589,2,4,2
"1242","702","Rheinhessen-Nahe",1999,874772,0.550012,0.801231712274609,0.358433156874897,0.331731794769342,2,4,2
"1243","702","Rheinhessen-Nahe",2000,874772,0.523013,0.797511441663205,0.325649839781686,0.319348430624428,2,4,2
"1244","702","Rheinhessen-Nahe",2001,874772,0.488626,0.772439430782596,0.319826612122068,0.287981077674771,2,4,2
"1245","702","Rheinhessen-Nahe",2002,874772,0.481371,0.754710888111584,0.317982866721812,0.294416799052037,2,4,2
"1246","702","Rheinhessen-Nahe",2003,874772,0.473318,0.744071201061601,0.302141527348317,0.306315476000664,2,4,2
"1247","702","Rheinhessen-Nahe",2004,874772,0.454796,0.710081873350134,0.297360366736051,0.311549245816001,2,4,2
"1248","702","Rheinhessen-Nahe",2005,874772,0.463818,0.684183752655826,0.316936539001499,0.334207174696518,2,4,2
"1249","702","Rheinhessen-Nahe",2006,874772,0.466423,0.684663093054441,0.331976309811446,0.323404186134925,2,4,2
"1250","702","Rheinhessen-Nahe",2007,874772,0.450275,0.663641320007192,0.349267786591864,0.297897236934292,2,4,2
"1251","702","Rheinhessen-Nahe",2008,874772,0.416546,0.641485541073224,0.330965467483084,0.277283107368568,2,4,2
"1252","702","Rheinhessen-Nahe",2009,874772,0.387832,0.623560058846867,0.29237939540845,0.281802959570769,2,4,2
"1253","702","Rheinhessen-Nahe",2010,874772,0.380716,0.589820203038135,0.3200563350105,0.274980055967611,2,4,2
"1254","702","Rheinhessen-Nahe",2011,874772,0.369212,0.573814666822032,0.327419908914161,0.262793218969516,2,4,2
