"","Kreiskennziffer","Name des Kreises","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"3671",8416,"Tübingen",2013,218355,0.354207530923527,0.34338539614231,0.387421019844655,0.430484665587997,0.319978,1,1,1
"3672",8416,"Tübingen",2014,218355,0.32249090568703,0.311003326266687,0.372242605220715,0.404455649760522,0.286072,1,1,1
"3673",8417,"Zollernalbkreis",1998,186360,0.737044308084574,0.837583663568617,0.645947154257021,0.566025232926292,0.729246,4,8,2
"3674",8417,"Zollernalbkreis",1999,186360,0.705202093394532,0.795921643895343,0.630578713690575,0.549174797866661,0.695205,4,7,2
"3675",8417,"Zollernalbkreis",2000,186360,0.675398094093661,0.780826471299586,0.598250919591377,0.527445974295651,0.663344,3,6,2
"3676",8417,"Zollernalbkreis",2001,186360,0.643542513723691,0.799888503194534,0.543545142585093,0.489177812809927,0.629289,3,5,2
"3677",8417,"Zollernalbkreis",2002,186360,0.642215132072528,0.784753563888753,0.550268795977443,0.494509283272503,0.62787,3,5,2
"3678",8417,"Zollernalbkreis",2003,186360,0.639248409176278,0.760104971899738,0.55131573687519,0.511227489043979,0.624698,3,5,2
"3679",8417,"Zollernalbkreis",2004,186360,0.635672263901399,0.752550297306834,0.550642944663351,0.511157517457564,0.620875,3,5,2
"3680",8417,"Zollernalbkreis",2005,186360,0.634771267412829,0.743072217598498,0.547967522827394,0.521220510289285,0.619912,3,5,2
"3681",8417,"Zollernalbkreis",2006,186360,0.609906206506658,0.724120148718191,0.524899456780822,0.505548271136564,0.59333,2,4,2
"3682",8417,"Zollernalbkreis",2007,186360,0.573611196041419,0.703279036816207,0.496115664763679,0.47096082066472,0.554529,2,3,2
"3683",8417,"Zollernalbkreis",2008,186360,0.536913205006386,0.680523420685686,0.454555000891382,0.450129743307258,0.515298,1,2,1
"3684",8417,"Zollernalbkreis",2009,186360,0.550626971153741,0.653918567850868,0.482968340405116,0.480140190416555,0.529958,2,3,2
"3685",8417,"Zollernalbkreis",2010,186360,0.542772152875742,0.663403834416588,0.47612938957309,0.459268980075459,0.521561,2,3,2
"3686",8417,"Zollernalbkreis",2011,186360,0.501351097483253,0.646312963593087,0.439631622823021,0.416751719035194,0.477281,1,2,1
"3687",8417,"Zollernalbkreis",2012,186360,0.474948589435158,0.622110578813243,0.417018120823021,0.402308018448723,0.449055,1,2,1
