"","X","Gemeindekennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name.der.Gemeinde","Jahr","Kreis","digits","Lebenserwartung_Frauen_2016","Lebenserwartung_MÃ¤nner_2016"
"106",52115,5913000,0.688060823966951,5,9,3,"Dortmund, Stadt",2016,5913,0,81.82,76.7466666666667
"107",52137,5914000,0.796017184006923,5,10,3,"Hagen, Stadt der FernUniversität",2016,5914,0,81.5233333333333,76.47
"108",52159,5915000,0.820577539225483,5,10,3,"Hamm, Stadt",2016,5915,0,82.29,77.1733333333333
"109",52181,5916000,0.854461351437667,5,10,3,"Herne, Stadt",2016,5916,0,81.42,75.86
"110",52203,5954004,0.484294353384775,2,3,2,"Breckerfeld, Hansestadt",2016,5954,0,82.1733333333333,77.7
"111",52401,5958004,0.624620107760619,4,7,2,"Arnsberg, Stadt",2016,5958,0,82.7666666666667,77.8233333333333
"112",52665,5962004,0.648644750533137,4,8,2,"Altena, Stadt",2016,5962,0,82.3166666666667,77.5666666666667
"113",52995,5966004,0.492412457374803,2,3,2,"Attendorn, Hansestadt",2016,5966,0,82.6833333333333,78.5633333333333
"114",53149,5970004,0.472992881205765,2,3,2,"Bad Berleburg, Stadt",2016,5970,0,82.7066666666667,77.89
"115",53391,5974004,0.550753603181308,3,5,2,"Anröchte",2016,5974,0,82.5666666666667,77.7733333333333
"116",53699,5978004,0.695509287399425,5,9,3,"Bergkamen, Stadt",2016,5978,0,82.45,77.6033333333333
"117",53919,6411000,0.259655701731793,1,1,1,"Darmstadt, Wissenschaftsstadt",2016,6411,0,83.0366666666667,78.94
"118",53941,6412000,0.282279250414662,1,1,1,"Frankfurt am Main, Stadt",2016,6412,0,83.65,79.04
"119",53963,6413000,0.770591447144756,5,10,3,"Offenbach am Main, Stadt",2016,6413,0,82.9466666666667,78.3
"120",53985,6414000,0.455098025075463,2,3,2,"Wiesbaden, Landeshauptstadt",2016,6414,0,83.22,79.0033333333333
"121",54007,6431001,0.394665540296908,1,2,1,"Abtsteinach",2016,6431,0,82.9333333333333,78.8266666666667
"122",54491,6432001,0.389267207186788,1,2,1,"Alsbach-Hähnlein",2016,6432,0,83.52,79.7233333333333
"123",54997,6433001,0.462412560396427,2,3,2,"Biebesheim am Rhein",2016,6433,0,83.2666666666667,79.01
"124",55305,6434001,0.0855388546055817,1,1,1,"Bad Homburg v. d. Höhe, Stadt",2016,6434,0,84.57,80.72
"125",55591,6435001,0.493473580104464,2,3,2,"Bad Orb, Stadt",2016,6435,0,83.4266666666667,79.18
"126",56229,6436001,0.122121833372825,1,1,1,"Bad Soden am Taunus, Stadt",2016,6436,0,84.25,80.3566666666667
"127",56493,6437001,0.629348800313186,4,7,2,"Bad König, Stadt",2016,6437,0,83.2333333333333,78.8833333333333
"128",56757,6438001,0.445733359432145,2,3,2,"Dietzenbach, Kreisstadt",2016,6438,0,83.96,80.0433333333333
"129",57043,6439001,0.381952671865825,1,2,1,"Aarbergen",2016,6439,0,83.77,79.9166666666667
"130",57417,6440001,0.426808287059454,1,2,1,"Altenstadt",2016,6440,0,83.23,78.8733333333333
"131",57967,6531001,0.462876157705502,2,3,2,"Allendorf (Lumda), Stadt",2016,6531,0,83.48,78.7433333333333
