"year","PLZ2","gisd_score","population","gisd_5","gisd_10","gisd_k"
2002,16,0.8523,598413,5,10,3
2002,17,1,582175,5,10,3
2002,18,0.90585,603349,5,10,3
2002,19,0.88443,401381,5,10,3
2002,20,0.34514,123873,1,2,1
2002,21,0.39432,1597996,2,3,2
2002,22,0.32605,1103442,1,2,1
2002,23,0.65722,733238,4,8,2
2002,24,0.58757,1095349,4,7,2
2002,25,0.52221,694669,3,6,2
2002,26,0.70095,1174940,4,8,2
2002,27,0.64766,860088,4,8,2
2002,28,0.48342,738878,3,5,2
2002,29,0.6972,491951,4,8,2
2002,30,0.47632,912461,3,5,2
2002,31,0.5477,987374,3,6,2
2002,32,0.49194,885607,3,5,2
2002,33,0.46538,1082569,3,5,2
2002,34,0.52611,800276,3,6,2
2002,35,0.44173,912547,2,4,2
2002,36,0.47771,518781,3,5,2
2002,37,0.61414,729093,4,8,2
2002,38,0.58206,1141995,4,7,2
2002,39,0.99378,783323,5,10,3
2002,40,0.27862,991992,1,2,1
2002,41,0.49442,952282,3,5,2
2002,42,0.53233,878888,3,6,2
2002,44,0.59367,1267494,4,7,2
2002,45,0.56149,1559154,4,7,2
2002,46,0.5691,894580,4,7,2
2002,47,0.63862,1313713,4,8,2
2002,48,0.40899,1189935,2,4,2
2002,49,0.58791,1228129,4,7,2
2002,50,0.39776,1084177,2,4,2
2002,51,0.38807,1079789,2,3,2
2002,52,0.58432,941131,4,7,2
2002,53,0.3792,1265468,2,3,2
2002,54,0.59503,516542,4,8,2
2002,55,0.38903,795458,2,3,2
2002,56,0.55487,849197,3,6,2
2002,57,0.51201,598580,3,6,2
2002,58,0.57265,930406,4,7,2
2002,59,0.57058,1145053,4,7,2
2002,60,0.23657,619157,1,1,1
2002,61,0.08692,451016,1,1,1
2002,63,0.38483,1268561,2,3,2
2002,64,0.28793,792590,1,2,1
2002,65,0.24403,1081648,1,2,1
2002,66,0.61881,1248759,4,8,2
2002,67,0.56116,1033467,3,6,2
2002,68,0.39578,601445,2,4,2
2002,69,0.21066,508949,1,1,1
2002,70,0.19639,821650,1,1,1
2002,71,0.20869,1000158,1,1,1
2002,72,0.38311,1056260,2,3,2
2002,73,0.30407,1006392,1,2,1
2002,74,0.40338,1057532,2,4,2
2002,75,0.38745,484410,2,3,2
2002,76,0.3223,1139769,1,2,1
2002,77,0.45206,478943,3,5,2
2002,78,0.49163,741488,3,5,2
2002,79,0.44625,1040371,3,5,2
2002,80,0.00017,626238,1,1,1
2002,81,0,814923,1,1,1
2002,82,0.06683,735553,1,1,1
2002,83,0.33378,762163,1,2,1
2002,84,0.41684,684830,2,4,2
2002,85,0.13957,1114901,1,1,1
2002,86,0.38341,1164100,2,3,2
2002,87,0.40008,522875,2,4,2
2002,88,0.35616,846572,1,2,1
2002,89,0.37398,763761,2,3,2
2002,90,0.439,892793,2,4,2
2002,91,0.33382,999919,1,2,1
2002,92,0.50868,516635,3,6,2
2002,93,0.4145,590817,2,4,2
2002,94,0.57674,705807,4,7,2
2002,95,0.55706,497496,3,6,2
2002,96,0.51393,552316,3,6,2
2002,97,0.42015,1061351,2,4,2
2002,98,0.80661,242064,5,9,3
2002,99,0.81702,831397,5,10,3
2003,1,0.62948,1242943,4,8,2
2003,2,0.88269,427271,5,10,3
2003,3,0.77999,294995,5,9,3
2003,4,0.8128,1227112,5,10,3
2003,6,0.99803,1276724,5,10,3
2003,7,0.69003,562704,4,8,2
2003,8,0.79353,577243,5,10,3
2003,9,0.75985,788063,5,9,3
2003,10,0.7673,414467,5,9,3
2003,12,0.76514,1377942,5,9,3
2003,13,0.76722,1173394,5,9,3
2003,14,0.72509,1264837,5,9,3
2003,15,0.76126,627638,5,9,3
2003,16,0.84449,598413,5,10,3
2003,17,1,582175,5,10,3
2003,18,0.91763,603349,5,10,3
2003,19,0.89485,401381,5,10,3
2003,20,0.31383,123873,1,2,1
2003,21,0.36083,1597996,2,3,2
2003,22,0.29553,1103442,1,2,1
2003,23,0.63321,733238,4,8,2
2003,24,0.5827,1095349,4,7,2
2003,25,0.50017,694669,3,6,2
2003,26,0.69511,1174940,4,8,2
2003,27,0.64983,860088,4,8,2
2003,28,0.47291,738878,3,5,2
2003,29,0.70524,491951,5,9,3
2003,30,0.47549,912461,3,5,2
2003,31,0.55821,987374,4,7,2
2003,32,0.47815,885607,3,5,2
2003,33,0.45725,1082569,3,5,2
2003,34,0.51802,800276,3,6,2
2003,35,0.44413,912547,3,5,2
2003,36,0.46254,518781,3,5,2
2003,37,0.61789,729093,4,8,2
2003,38,0.56632,1141995,4,7,2
2003,39,0.98302,783323,5,10,3
2003,40,0.24999,991992,1,2,1
2003,41,0.47494,952282,3,5,2
2003,42,0.52778,878888,3,6,2
2003,44,0.59257,1267494,4,8,2
2003,45,0.55396,1559154,4,7,2
2003,46,0.56002,894580,4,7,2
2003,47,0.62685,1313713,4,8,2
2003,48,0.3893,1189935,2,4,2
2003,49,0.57582,1228129,4,7,2
2003,50,0.37998,1084177,2,4,2
2003,51,0.37468,1079789,2,4,2
2003,52,0.574,941131,4,7,2
2003,53,0.35942,1265468,2,3,2
2003,54,0.55125,516542,4,7,2
2003,55,0.37184,795458,2,3,2
2003,56,0.5392,849197,3,6,2
2003,57,0.48905,598580,3,6,2
2003,58,0.56633,930406,4,7,2
2003,59,0.56106,1145053,4,7,2
2003,60,0.2443,619157,1,2,1
2003,61,0.06981,451016,1,1,1
2003,63,0.37852,1268561,2,4,2
2003,64,0.27206,792590,1,2,1
2003,65,0.23675,1081648,1,1,1
2003,66,0.59921,1248759,4,8,2
2003,67,0.54751,1033467,3,6,2
2003,68,0.37373,601445,2,3,2
2003,69,0.17939,508949,1,1,1
2003,70,0.14284,821650,1,1,1
2003,71,0.16742,1000158,1,1,1
2003,72,0.35085,1056260,2,3,2
2003,73,0.27425,1006392,1,2,1
2003,74,0.37341,1057532,2,3,2
2003,75,0.37379,484410,2,3,2
2003,76,0.29654,1139769,1,2,1
2003,77,0.41758,478943,2,4,2
2003,78,0.4605,741488,3,5,2
2003,79,0.41496,1040371,2,4,2
2003,80,0.00027,626238,1,1,1
2003,81,0,814923,1,1,1
2003,82,0.03671,735553,1,1,1
2003,83,0.30287,762163,1,2,1
2003,84,0.37476,684830,2,4,2
2003,85,0.09868,1114901,1,1,1
2003,86,0.3603,1164100,2,3,2
2003,87,0.38717,522875,2,4,2
2003,88,0.31944,846572,1,2,1
2003,89,0.33571,763761,2,3,2
2003,90,0.42925,892793,3,5,2
2003,91,0.31717,999919,1,2,1
2003,92,0.50149,516635,3,6,2
2003,93,0.37965,590817,2,4,2
2003,94,0.54428,705807,3,6,2
2003,95,0.54647,497496,3,6,2
2003,96,0.48493,552316,3,6,2
2003,97,0.412,1061351,2,4,2
2003,98,0.76609,242064,5,9,3
2003,99,0.77343,831397,5,9,3
2004,1,0.59945,1242943,4,8,2
2004,2,0.85189,427271,5,10,3
2004,3,0.78504,294995,5,9,3
2004,4,0.78703,1227112,5,10,3
2004,6,0.94734,1276724,5,10,3
2004,7,0.68628,562704,5,9,3
2004,8,0.73646,577243,5,9,3
2004,9,0.71788,788063,5,9,3
2004,10,0.74713,414467,5,9,3
2004,12,0.74525,1377942,5,9,3
2004,13,0.74707,1173394,5,9,3
2004,14,0.72221,1264837,5,9,3
2004,15,0.76619,627638,5,9,3
2004,16,0.84798,598413,5,10,3
2004,17,1,582175,5,10,3
2004,18,0.91004,603349,5,10,3
2004,19,0.87699,401381,5,10,3
2004,20,0.31144,123873,1,2,1
2004,21,0.35137,1597996,2,3,2
2004,22,0.29543,1103442,1,2,1
2004,23,0.61378,733238,4,8,2
2004,24,0.5723,1095349,4,8,2
2004,25,0.50351,694669,3,6,2
2004,26,0.65626,1174940,4,8,2
2004,27,0.60384,860088,4,8,2
2004,28,0.47154,738878,3,6,2
2004,29,0.67051,491951,4,8,2
2004,30,0.40732,912461,3,5,2
2004,31,0.4954,987374,3,6,2
2004,32,0.46168,885607,3,5,2
2004,33,0.44517,1082569,3,5,2
2004,34,0.48315,800276,3,6,2
2004,35,0.41804,912547,3,5,2
2004,36,0.44872,518781,3,5,2
2004,37,0.56079,729093,4,7,2
2004,38,0.50918,1141995,3,6,2
2004,39,0.9414,783323,5,10,3
2004,40,0.2369,991992,1,2,1
2004,41,0.46759,952282,3,6,2
2004,42,0.51866,878888,4,7,2
2004,44,0.59357,1267494,4,8,2
2004,45,0.55761,1559154,4,7,2
2004,46,0.56116,894580,4,7,2
2004,47,0.61175,1313713,4,8,2
2004,48,0.38,1189935,2,4,2
2004,49,0.51482,1228129,4,7,2
2004,50,0.37599,1084177,2,4,2
2004,51,0.3648,1079789,2,4,2
2004,52,0.57062,941131,4,8,2
2004,53,0.35074,1265468,2,3,2
2004,54,0.5318,516542,4,7,2
2004,55,0.34064,795458,2,3,2
2004,56,0.50579,849197,3,6,2
2004,57,0.46768,598580,3,6,2
2004,58,0.55141,930406,4,7,2
2004,59,0.55208,1145053,4,7,2
2004,60,0.23,619157,1,2,1
2004,61,0.05506,451016,1,1,1
2004,63,0.37261,1268561,2,4,2
2004,64,0.26965,792590,1,2,1
2004,65,0.22481,1081648,1,1,1
2004,66,0.56309,1248759,4,7,2
2004,67,0.51036,1033467,4,7,2
2004,68,0.3565,601445,2,4,2
2004,69,0.17404,508949,1,1,1
2004,70,0.10995,821650,1,1,1
2004,71,0.14198,1000158,1,1,1
2004,72,0.32588,1056260,2,3,2
2004,73,0.24525,1006392,1,2,1
2004,74,0.34418,1057532,2,3,2
2004,75,0.33894,484410,2,3,2
2004,76,0.27306,1139769,1,2,1
2004,77,0.3797,478943,2,4,2
2004,78,0.42937,741488,3,5,2
2004,79,0.4025,1040371,2,4,2
2004,80,0.0002,626238,1,1,1
2004,81,0,814923,1,1,1
2004,82,0.04622,735553,1,1,1
2004,83,0.28782,762163,1,2,1
2004,84,0.3554,684830,2,4,2
2004,85,0.09402,1114901,1,1,1
2004,86,0.34332,1164100,2,3,2
2004,87,0.35763,522875,2,4,2
2004,88,0.30179,846572,1,2,1
2004,89,0.3237,763761,2,3,2
2004,90,0.41722,892793,3,5,2
2004,91,0.29739,999919,1,2,1
2004,92,0.45715,516635,3,5,2
2004,93,0.35079,590817,2,3,2
2004,94,0.50499,705807,3,6,2
2004,95,0.49909,497496,3,6,2
2004,96,0.45814,552316,3,5,2
2004,97,0.36888,1061351,2,4,2
