Kennziffer;Raumeinheit;Aggregat;Lebenserwartung Frauen;Lebenserwartung Frauen;Lebenserwartung Männer;Lebenserwartung Männer
"08115";"Böblingen";"Landkreis";"84,60";"84,72";"81,27";"80,79"
"08116";"Esslingen";"Landkreis";"84,43";"84,68";"80,63";"80,75"
"08117";"Göppingen";"Landkreis";"84,03";"83,77";"79,87";"80,29"
"08118";"Ludwigsburg";"Landkreis";"84,84";"84,28";"80,35";"80,25"
"08119";"Rems-Murr-Kreis";"Landkreis";"84,60";"84,72";"79,82";"79,99"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"83,53";"83,32";"78,41";"78,09"
"08125";"Heilbronn";"Landkreis";"83,62";"83,53";"79,61";"79,58"
"08126";"Hohenlohekreis";"Landkreis";"84,15";"84,31";"79,09";"78,77"
"08127";"Schwäbisch Hall";"Landkreis";"84,13";"84,37";"79,33";"78,93"
"08128";"Main-Tauber-Kreis";"Landkreis";"84,32";"83,62";"78,77";"78,81"
"08135";"Heidenheim";"Landkreis";"84,18";"84,47";"78,99";"79,49"
"08136";"Ostalbkreis";"Landkreis";"83,77";"84,00";"79,34";"79,04"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"82,93";"82,43";"79,00";"78,60"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"83,89";"83,71";"79,36";"79,42"
"08215";"Karlsruhe";"Landkreis";"83,88";"83,92";"79,84";"79,95"
"08216";"Rastatt";"Landkreis";"84,33";"84,02";"78,93";"79,24"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"84,97";"84,33";"81,07";"80,67"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"82,73";"82,52";"77,70";"77,64"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"83,19";"83,37";"78,36";"78,25"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"83,96";"83,98";"79,79";"79,69"
"08231";"Pforzheim, Stadt";"Landkreis";"83,74";"83,17";"78,65";"78,17"
"08235";"Calw";"Landkreis";"84,38";"83,65";"80,10";"79,85"
"08236";"Enzkreis";"Landkreis";"84,46";"84,34";"80,90";"80,51"
"08237";"Freudenstadt";"Landkreis";"83,18";"83,04";"79,80";"79,67"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"84,25";"83,37";"79,65";"80,35"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"85,27";"84,87";"80,67";"81,64"
"08316";"Emmendingen";"Landkreis";"84,34";"84,56";"80,12";"79,90"
"08317";"Ortenaukreis";"Landkreis";"84,01";"83,79";"79,61";"79,67"
"08325";"Rottweil";"Landkreis";"84,23";"83,84";"79,33";"79,21"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"83,94";"83,72";"79,88";"79,61"
"08327";"Tuttlingen";"Landkreis";"83,59";"83,57";"79,23";"79,46"
"08335";"Konstanz";"Landkreis";"83,89";"84,69";"79,80";"79,94"
"08336";"Lörrach";"Landkreis";"84,26";"84,06";"79,72";"79,69"
"08337";"Waldshut";"Landkreis";"84,29";"84,37";"79,76";"79,32"
"08415";"Reutlingen";"Landkreis";"84,72";"84,63";"80,24";"80,06"
"08416";"Tübingen";"Landkreis";"84,98";"85,17";"80,37";"81,17"
"08417";"Zollernalbkreis";"Landkreis";"84,48";"84,61";"79,38";"79,56"
"08421";"Ulm, Stadt";"krsfr. Stadt";"84,39";"84,17";"80,03";"79,05"
"08425";"Alb-Donau-Kreis";"Landkreis";"84,48";"83,83";"79,58";"80,22"
"08426";"Biberach";"Landkreis";"84,31";"83,80";"79,34";"79,54"
"08435";"Bodenseekreis";"Landkreis";"84,74";"84,79";"80,77";"80,65"
"08436";"Ravensburg";"Landkreis";"84,38";"84,21";"79,73";"79,77"
"08437";"Sigmaringen";"Landkreis";"83,49";"84,14";"78,84";"79,14"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"84,72";"84,37";"79,74";"79,95"
"09162";"München, Stadt";"krsfr. Stadt";"84,77";"85,21";"80,62";"81,00"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"84,41";"84,38";"79,35";"79,24"
"09171";"Altötting";"Landkreis";"83,60";"83,31";"77,74";"78,14"
"09172";"Berchtesgadener Land";"Landkreis";"83,58";"84,56";"79,72";"79,35"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"84,13";"84,04";"79,82";"80,80"
"09174";"Dachau";"Landkreis";"83,83";"83,88";"80,16";"80,70"
"09175";"Ebersberg";"Landkreis";"84,04";"84,76";"81,38";"80,85"
"09176";"Eichstätt";"Landkreis";"84,29";"84,34";"80,24";"79,54"
"09177";"Erding";"Landkreis";"84,44";"83,64";"79,88";"79,99"
"09178";"Freising";"Landkreis";"84,00";"83,47";"79,90";"80,09"
"09179";"Fürstenfeldbruck";"Landkreis";"84,75";"84,48";"80,45";"81,31"
"09180";"Garmisch-Partenkirchen";"Landkreis";"83,52";"84,23";"79,83";"79,32"
"09181";"Landsberg am Lech";"Landkreis";"84,57";"84,52";"80,56";"80,84"
"09182";"Miesbach";"Landkreis";"84,38";"84,26";"79,39";"80,46"
"09183";"Mühldorf a.Inn";"Landkreis";"82,61";"82,55";"77,67";"77,54"
