Kennziffer;Raumeinheit;Aggregat;Lebenserwartung;Lebenserwartung;Lebenserwartung
"08222";"Mannheim, Stadt";"krsfr. Stadt";"80,25";"80,28";"80,09"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"80,77";"80,88";"80,68"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"81,93";"81,86";"81,75"
"08231";"Pforzheim, Stadt";"Landkreis";"81,27";"81,25";"80,75"
"08235";"Calw";"Landkreis";"82,22";"82,22";"81,65"
"08236";"Enzkreis";"Landkreis";"82,74";"82,53";"82,34"
"08237";"Freudenstadt";"Landkreis";"81,54";"81,39";"81,27"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"82,06";"81,95";"81,97"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"82,99";"83,17";"83,17"
"08316";"Emmendingen";"Landkreis";"82,26";"82,24";"82,15"
"08317";"Ortenaukreis";"Landkreis";"81,83";"81,74";"81,68"
"08325";"Rottweil";"Landkreis";"81,80";"81,70";"81,40"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"81,96";"81,89";"81,63"
"08327";"Tuttlingen";"Landkreis";"81,40";"81,62";"81,44"
"08335";"Konstanz";"Landkreis";"81,89";"81,95";"82,28"
"08336";"Lörrach";"Landkreis";"82,00";"81,89";"81,82"
"08337";"Waldshut";"Landkreis";"82,06";"81,84";"81,78"
"08415";"Reutlingen";"Landkreis";"82,50";"82,74";"82,27"
"08416";"Tübingen";"Landkreis";"82,69";"83,05";"83,09"
"08417";"Zollernalbkreis";"Landkreis";"81,96";"82,03";"81,98"
"08421";"Ulm, Stadt";"krsfr. Stadt";"82,28";"82,21";"81,67"
"08425";"Alb-Donau-Kreis";"Landkreis";"82,01";"82,18";"81,93"
"08426";"Biberach";"Landkreis";"81,81";"81,67";"81,52"
"08435";"Bodenseekreis";"Landkreis";"82,75";"82,75";"82,59"
"08436";"Ravensburg";"Landkreis";"82,08";"82,05";"81,91"
"08437";"Sigmaringen";"Landkreis";"81,17";"81,36";"81,44"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"82,20";"82,20";"82,10"
"09162";"München, Stadt";"krsfr. Stadt";"82,80";"82,97";"83,01"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"81,93";"81,66";"81,70"
"09171";"Altötting";"Landkreis";"80,66";"80,76";"80,56"
"09172";"Berchtesgadener Land";"Landkreis";"81,69";"81,82";"81,87"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"82,00";"82,14";"82,31"
"09174";"Dachau";"Landkreis";"82,01";"82,20";"82,10"
"09175";"Ebersberg";"Landkreis";"82,68";"82,80";"82,58"
"09176";"Eichstätt";"Landkreis";"82,26";"81,93";"81,69"
"09177";"Erding";"Landkreis";"82,13";"82,22";"81,62"
"09178";"Freising";"Landkreis";"81,94";"82,00";"81,48"
"09179";"Fürstenfeldbruck";"Landkreis";"82,66";"82,79";"82,59"
"09180";"Garmisch-Partenkirchen";"Landkreis";"81,76";"81,95";"81,70"
"09181";"Landsberg am Lech";"Landkreis";"82,59";"82,65";"82,50"
"09182";"Miesbach";"Landkreis";"81,92";"81,95";"82,22"
"09183";"Mühldorf a.Inn";"Landkreis";"80,08";"80,17";"79,85"
