"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"1354",1205,"Uckermark-Barnim",2008,295810,0.764162637752127,0.716692956021068,0.709219994882014,0.686563549772462,0.738635,4,8,2
"1355",1205,"Uckermark-Barnim",2009,295810,0.731681390805747,0.692807277269963,0.684620942760587,0.659684690888521,0.697588,4,8,2
"1356",1205,"Uckermark-Barnim",2010,295810,0.708434836974421,0.66042696343709,0.682790845111325,0.639958018332965,0.668211,4,7,2
"1357",1205,"Uckermark-Barnim",2011,295810,0.705871143492541,0.713896107819429,0.646258687830043,0.617072702211515,0.664971,4,7,2
"1358",1205,"Uckermark-Barnim",2012,295810,0.680591672153743,0.67292287243181,0.64000260997577,0.605648118625408,0.633025,3,6,2
"1359",1205,"Uckermark-Barnim",2013,295810,0.659059718891356,0.668024262787458,0.62159589233262,0.578994609818935,0.605815,3,5,2
"1360",1205,"Uckermark-Barnim",2014,295810,0.671919417968809,0.676804914461453,0.613673097884525,0.607974064173616,0.622066,3,6,2
"1361",1301,"Mecklenburgische Seenplatte",1998,261733,0.903734560235787,0.771577161308359,0.869922406504961,0.794814288150495,0.915014,5,10,3
"1362",1301,"Mecklenburgische Seenplatte",1999,261733,0.893756893892118,0.773126528355798,0.857988316477209,0.782048645189114,0.902406,5,10,3
"1363",1301,"Mecklenburgische Seenplatte",2000,261733,0.891015566079819,0.774649523531367,0.851122035841383,0.781031451171005,0.898941,5,10,3
"1364",1301,"Mecklenburgische Seenplatte",2001,261733,0.904985826118122,0.835008066132051,0.833286704954674,0.770922295113699,0.916596,5,10,3
"1365",1301,"Mecklenburgische Seenplatte",2002,261733,0.879064924946484,0.766271805808027,0.830047875775144,0.782755230430801,0.883839,5,10,3
"1366",1301,"Mecklenburgische Seenplatte",2003,261733,0.868690093640939,0.735490105628791,0.819480282647744,0.800032648307455,0.870728,5,10,3
"1367",1301,"Mecklenburgische Seenplatte",2004,261733,0.864749842988471,0.742695889987371,0.799844072516812,0.803320831659113,0.865749,5,10,3
"1368",1301,"Mecklenburgische Seenplatte",2005,261733,0.869513814598981,0.749907780877469,0.809216295481305,0.797790172823002,0.871769,5,10,3
"1369",1301,"Mecklenburgische Seenplatte",2006,261733,0.854744404095053,0.743833508321126,0.80342998802822,0.775382493488801,0.853105,5,10,3
"1370",1301,"Mecklenburgische Seenplatte",2007,261733,0.831311274951626,0.745364522945458,0.785297810526856,0.737613676839154,0.823492,5,10,3
"1371",1301,"Mecklenburgische Seenplatte",2008,261733,0.784250250086527,0.724111042883111,0.74029561957204,0.694677487786801,0.76402,5,9,3
"1372",1301,"Mecklenburgische Seenplatte",2009,261733,0.790683165990584,0.774968976855593,0.719902094268456,0.67913884954573,0.772149,5,9,3
"1373",1301,"Mecklenburgische Seenplatte",2010,261733,0.788445130279427,0.780249104093826,0.722300536567688,0.666267548169048,0.769321,5,9,3
